Year,Country,Happiness Score,GDP per Capita,Life Expectancy,Freedom,Perceptions of corruption,Generosity,Region
2015.0,Switzerland,7.587,1.39651,0.94143,0.66557,0.41978,0.29678,Western Europe
2015.0,Iceland,7.561,1.30232,0.94784,0.62877,0.14145,0.4363,Western Europe
2015.0,Denmark,7.527,1.32548,0.87464,0.64938,0.48357,0.34139,Western Europe
2015.0,Norway,7.522,1.459,0.88521,0.66973,0.36503,0.34699,Western Europe
2015.0,Canada,7.427,1.32629,0.90563,0.63297,0.32957,0.45811,North America
2015.0,Finland,7.406,1.29025,0.88911,0.64169,0.41372,0.23351,Western Europe
2015.0,Netherlands,7.378,1.32944,0.89284,0.61576,0.31814,0.4761,Western Europe
2015.0,Sweden,7.364,1.33171,0.91087,0.6598,0.43844,0.36262,Western Europe
2015.0,New Zealand,7.286,1.25018,0.90837,0.63938,0.42922,0.47501,Australia and New Zealand
2015.0,Australia,7.284,1.33358,0.93156,0.65124,0.35637,0.43562,Australia and New Zealand
2015.0,Israel,7.278,1.22857,0.91387,0.41319,0.07785,0.33172,Middle East and Northern Africa
2015.0,Costa Rica,7.226,0.95578,0.86027,0.63376,0.10583,0.25497,Latin America and Caribbean
2015.0,Austria,7.2,1.33723,0.89042,0.62433,0.18676,0.33088,Western Europe
2015.0,Mexico,7.187,1.02054,0.81444,0.48181,0.21312,0.14074,Latin America and Caribbean
2015.0,United States,7.119,1.39451,0.86179,0.54604,0.1589,0.40105,North America
2015.0,Brazil,6.983,0.98124,0.69702,0.49049,0.17521,0.14574,Latin America and Caribbean
2015.0,Luxembourg,6.946,1.56391,0.91894,0.61583,0.37798,0.28034,Western Europe
2015.0,Ireland,6.94,1.33596,0.89533,0.61777,0.28703,0.45901,Western Europe
2015.0,Belgium,6.937,1.30782,0.89667,0.5845,0.2254,0.2225,Western Europe
2015.0,United Arab Emirates,6.901,1.42727,0.80925,0.64157,0.38583,0.26428,Middle East and Northern Africa
2015.0,United Kingdom,6.867,1.26637,0.90943,0.59625,0.32067,0.51912,Western Europe
2015.0,Oman,6.853,1.36011,0.76276,0.63274,0.32524,0.21542,Middle East and Northern Africa
2015.0,Venezuela,6.81,1.04424,0.72052,0.42908,0.11069,0.05841,Latin America and Caribbean
2015.0,Singapore,6.798,1.52186,1.02525,0.54252,0.4921,0.31105,Southeastern Asia
2015.0,Panama,6.786,1.06353,0.79661,0.5421,0.0927,0.24434,Latin America and Caribbean
2015.0,Germany,6.75,1.32792,0.89186,0.61477,0.21843,0.28214,Western Europe
2015.0,Chile,6.67,1.10715,0.85857,0.44132,0.12869,0.33363,Latin America and Caribbean
2015.0,Qatar,6.611,1.69042,0.79733,0.6404,0.52208,0.32573,Middle East and Northern Africa
2015.0,France,6.575,1.27778,0.94579,0.55011,0.20646,0.12332,Western Europe
2015.0,Argentina,6.574,1.05351,0.78723,0.44974,0.08484,0.11451,Latin America and Caribbean
2015.0,Czech Republic,6.505,1.17898,0.84483,0.46364,0.02652,0.10686,Central and Eastern Europe
2015.0,Uruguay,6.485,1.06166,0.8116,0.60362,0.24558,0.2324,Latin America and Caribbean
2015.0,Colombia,6.477,0.91861,0.69077,0.53466,0.0512,0.18401,Latin America and Caribbean
2015.0,Thailand,6.455,0.9669,0.7385,0.55664,0.03187,0.5763,Southeastern Asia
2015.0,Saudi Arabia,6.411,1.39541,0.72025,0.31048,0.32524,0.13706,Middle East and Northern Africa
2015.0,Spain,6.329,1.23011,0.95562,0.45951,0.06398,0.18227,Western Europe
2015.0,Malta,6.302,1.2074,0.88721,0.60365,0.13586,0.51752,Western Europe
2015.0,Taiwan,6.298,1.29098,0.8753,0.3974,0.08129,0.25376,Eastern Asia
2015.0,Kuwait,6.295,1.55422,0.72492,0.55499,0.25609,0.16228,Middle East and Northern Africa
